A_1_center,A_1_front,A_1_left,A_1_right,A_1_back,A_2_center,A_2_front,A_2_left,A_2_right,A_2_back,A_3_center,A_3_front,A_3_left,A_3_right,A_3_back,A_4_center,A_4_front,A_4_left,A_4_right,A_4_back,A_5_center,A_5_front,A_5_left,A_5_right,A_5_back,A_6_center,A_6_front,A_6_left,A_6_right,A_6_back,A_7_center,A_7_front,A_7_left,A_7_right,A_7_back,x,y,z,source_file,Objektname,Objektkategorie,OAufnahme,Schwierigkeit,Gewicht
0.4616,0.5963,0.5574,0.5921,0.0128,6.6496,7.4242,6.1374,5.7792,6.1816,0.3621,0.2681,-0.3651,0.4803,1.0769,-5.1119,-6.2324,-4.8181,-3.8631,-4.7718,0.3082,0.4757,-0.9692,0.164,1.8902,-0.3433,2.0187,-0.86,-1.8928,-0.8296,0.2461,0.2336,0.2903,0.2184,0.1697,50.0,25.0,31.75,Rechteck_V_L_U_2.csv,Rechteck,3,2,1,127.8
0.3976,0.3375,0.3819,0.273,0.1395,6.6888,7.2194,6.0784,5.8215,6.2626,0.5927,0.2797,-0.5169,0.4677,1.1069,-5.1416,-6.2679,-4.7666,-3.8394,-4.7786,0.2647,0.3286,-1.0238,0.1565,1.8864,-0.3383,2.0451,-0.9074,-1.8919,-0.813,0.243,0.1878,0.2851,0.234,0.1675,50.0,25.0,31.75,Rechteck_V_L_U_3.csv,Rechteck,3,2,1,127.8
0.4781,0.4994,0.5442,0.6523,0.0234,6.519,7.1599,6.2584,5.9455,6.2094,0.9665,0.4927,-0.416,0.6694,1.0788,-5.0191,-6.2614,-4.8767,-3.8345,-4.7717,0.325,0.1018,-1.0673,0.4016,1.893,-0.3997,1.994,-0.9133,-1.9268,-0.8357,0.254,0.2017,0.2719,0.2469,0.1786,25.0,50.0,31.75,Rechteck_V_L_L_1.csv,Rechteck,3,2,1,127.8
0.4661,0.0567,0.2324,-0.1168,0.0122,6.7095,7.2372,6.23,5.5384,6.2521,0.4193,0.0237,-0.6621,0.4098,1.0868,-5.1401,-6.2495,-4.9024,-3.7106,-4.7707,0.3447,0.4259,-1.1067,0.2183,1.9257,-0.3238,2.0319,-0.8812,-1.8917,-0.8161,0.2436,0.1909,0.2852,0.2116,0.1766,25.0,50.0,31.75,Rechteck_V_L_L_2.csv,Rechteck,3,2,1,127.8
0.5154,0.2498,0.5131,-0.026,0.0447,6.713,7.2943,6.1733,5.9269,6.3131,0.7706,0.3333,-0.4718,0.4605,1.13,-5.1636,-6.2545,-4.861,-3.9637,-4.8236,0.3643,0.2723,-1.0627,0.168,1.949,-0.2713,2.0415,-0.8405,-1.8915,-0.845,0.2385,0.1931,0.2849,0.213,0.1597,25.0,50.0,31.75,Rechteck_V_L_L_3.csv,Rechteck,3,2,1,127.8
0.4203,0.8526,0.5515,0.7434,0.1205,6.2647,6.8012,5.8775,5.6033,5.9395,0.2992,0.214,-0.3091,0.5533,1.0946,-4.7957,-5.9021,-4.5814,-3.7094,-4.5345,0.3053,0.126,-0.8285,0.2671,1.8021,-0.3836,1.8647,-0.8367,-1.7485,-0.7975,0.2512,0.2536,0.2828,0.2383,0.1783,87.5,47.5,20.0,Lumi_L_U_1.csv,Lumi L,4,2,2,51.7
0.4487,0.7673,0.4813,0.2492,0.0625,6.3212,6.8129,5.7882,5.3586,5.9025,0.8071,0.4961,-0.4095,0.5055,1.0831,-4.8321,-5.8387,-4.5521,-3.6433,-4.5082,0.2749,0.116,-0.8834,0.1771,1.7614,-0.3423,1.8509,-0.8518,-1.7508,-0.7972,0.2523,0.2393,0.2772,0.2076,0.1742,87.5,47.5,20.0,Lumi_L_U_2.csv,Lumi L,4,2,2,51.7
0.4531,-0.2807,0.1567,0.7304,0.0618,6.2862,6.8636,5.7906,5.5894,5.9302,0.8619,0.1831,-0.6476,0.6978,1.0544,-4.8509,-5.8497,-4.5375,-3.7099,-4.5382,0.2864,0.5519,-0.9248,0.1408,1.7768,-0.3376,1.851,-0.8748,-1.6766,-0.7829,0.253,0.1691,0.2836,0.2227,0.1702,87.5,47.5,20.0,Lumi_L_U_3.csv,Lumi L,4,2,2,51.7
0.4376,0.655,0.5019,-0.0489,0.0859,6.2462,6.7454,5.8221,5.5389,5.9638,0.7782,0.3616,-0.3913,0.3357,1.064,-4.7811,-5.7475,-4.5769,-3.7211,-4.5691,0.253,0.0639,-0.912,0.1506,1.7336,-0.3658,1.84,-0.8495,-1.7439,-0.7586,0.2545,0.2274,0.2827,0.2302,0.1779,87.5,47.5,20.0,Lumi_L_U_4.csv,Lumi L,4,2,2,51.7
0.4384,0.8708,0.4194,0.4369,-0.0505,6.2403,6.8351,5.8245,5.5406,6.0219,0.97,0.6091,-0.4074,0.5825,0.9833,-4.7603,-5.8592,-4.5782,-3.7488,-4.58,0.3099,0.1286,-0.899,0.2921,1.7691,-0.374,1.8708,-0.8357,-1.7342,-0.7603,0.2522,0.2472,0.2861,0.2377,0.1695,87.5,47.5,20.0,Lumi_L_U_5.csv,Lumi L,4,2,2,51.7
0.4448,0.7727,0.3503,0.17,0.055,6.2753,6.947,5.8554,5.4259,5.8388,0.3695,-0.0515,-0.463,0.4168,1.0853,-4.8193,-5.9378,-4.5786,-3.721,-4.517,0.296,0.1342,-0.9146,0.1891,1.778,-0.3369,1.8926,-0.8538,-1.7121,-0.8026,0.2526,0.2428,0.288,0.2276,0.1693,87.5,47.5,20.0,Lumi_L_U_6.csv,Lumi L,4,2,2,51.7
0.4381,-0.0508,0.3202,0.119,-0.0397,6.2808,6.7081,5.8067,5.5917,5.9596,0.4102,-0.1489,-0.475,0.5178,1.0182,-4.7764,-5.8209,-4.5468,-3.7511,-4.5413,0.3058,0.2518,-0.9049,0.4179,1.7596,-0.3129,1.8473,-0.8514,-1.7266,-0.7942,0.2486,0.1863,0.2809,0.2176,0.1687,87.5,47.5,20.0,Lumi_L_U_7.csv,Lumi L,4,2,2,51.7
0.4246,-0.1129,0.4525,-0.0661,0.0258,6.3894,6.7037,5.7131,5.6827,5.9052,0.3749,-0.0273,-0.4107,0.2888,1.05,-4.8918,-5.7368,-4.5082,-3.7882,-4.546,0.2688,0.4032,-0.9093,0.1495,1.7517,-0.3633,1.839,-0.847,-1.7397,-0.7982,0.2574,0.1705,0.2831,0.2172,0.1662,87.5,47.5,20.0,Lumi_L_U_8.csv,Lumi L,4,2,2,51.7
0.4135,0.5731,0.5045,0.0901,-0.0707,6.3343,6.893,5.8078,5.527,5.9409,0.3425,0.3646,-0.349,0.6509,0.9847,-4.829,-5.8584,-4.5561,-3.7064,-4.5526,0.2582,0.3725,-0.9091,0.2373,1.7154,-0.3607,1.8908,-0.8276,-1.6527,-0.7596,0.2503,0.2201,0.2886,0.223,0.1707,87.5,47.5,20.0,Lumi_L_U_9.csv,Lumi L,4,2,2,51.7
0.4264,0.7544,0.4595,-0.0858,0.045,6.3165,6.8626,5.9413,5.6424,6.0129,0.8303,0.5462,-0.3672,0.5111,1.1337,-4.8109,-5.8613,-4.6672,-3.7765,-4.5918,0.3319,0.1355,-0.889,0.2004,1.7917,-0.3899,1.8578,-0.8085,-1.6427,-0.7619,0.2553,0.231,0.2923,0.1923,0.1664,87.5,47.5,20.0,Lumi_L_U_10.csv,Lumi L,4,2,2,51.7
0.5327,0.8598,0.436,0.4686,0.1236,6.2579,6.6646,6.051,5.6885,5.9781,0.8904,0.5325,-0.438,0.4644,1.1431,-4.8176,-5.8446,-4.6454,-3.9005,-4.5506,0.3046,0.1044,-0.897,0.4491,1.7646,-0.4087,1.8803,-0.8431,-1.6876,-0.7801,0.2482,0.2207,0.2821,0.2452,0.1647,87.5,47.5,20.0,Lumi_L_U_11.csv,Lumi L,4,2,2,51.7
0.5114,0.8669,0.3259,0.7328,0.213,6.3678,6.7216,5.9013,5.4558,5.9135,0.8378,0.5434,-0.4472,0.7361,1.205,-4.9007,-5.8832,-4.6041,-3.736,-4.5969,0.3086,0.1035,-0.9058,0.5918,1.7721,-0.4149,1.8881,-0.8302,-1.6146,-0.744,0.2478,0.2308,0.2887,0.2525,0.1634,87.5,47.5,20.0,Lumi_L_U_12.csv,Lumi L,4,2,2,51.7
0.3744,-0.1607,0.2747,0.7133,0.2066,6.3614,6.7813,5.8011,5.5844,6.004,0.6258,0.2097,-0.563,0.4208,1.1863,-4.862,-5.8301,-4.6003,-3.806,-4.5831,0.2779,0.5259,-0.9574,0.3813,1.7481,-0.3991,1.8784,-0.8065,-1.6919,-0.7591,0.2495,0.1581,0.2793,0.2618,0.1625,87.5,47.5,20.0,Lumi_L_U_13.csv,Lumi L,4,2,2,51.7
0.546,-0.0951,0.3598,0.7197,0.0408,6.1578,6.7987,5.8492,5.4901,5.8783,0.8269,0.1723,-0.4676,0.5232,1.0793,-4.662,-5.8594,-4.5899,-3.6796,-4.4966,0.2914,0.4702,-0.9254,0.2593,1.7385,-0.4666,1.9071,-0.8855,-1.6832,-0.8132,0.2512,0.1738,0.2692,0.2611,0.1804,47.5,87.5,20.0,Lumi_L_L_1.csv,Lumi L,4,2,2,51.7
0.6241,0.3624,0.4044,0.2949,0.1191,6.3167,7.0819,5.8594,5.4314,5.89,0.7043,0.3815,-0.4143,0.6306,1.1434,-4.7923,-5.9943,-4.5773,-3.7839,-4.5636,0.3379,0.3699,-0.9014,0.1538,1.7544,-0.4622,1.8855,-0.8619,-1.5854,-0.7242,0.2453,0.1815,0.2798,0.2193,0.1734,47.5,87.5,20.0,Lumi_L_L_2.csv,Lumi L,4,2,2,51.7
0.5042,-0.0738,0.4032,0.2032,0.1559,6.2534,6.7353,5.9091,5.524,5.9946,1.0111,0.4428,-0.3911,0.3349,1.1823,-4.8358,-5.8392,-4.6018,-3.7567,-4.5302,0.3017,0.4823,-0.9033,0.1362,1.77,-0.4019,1.9104,-0.8194,-1.7223,-0.7697,0.2472,0.1839,0.2803,0.2177,0.175,47.5,87.5,20.0,Lumi_L_L_3.csv,Lumi L,4,2,2,51.7
0.5141,0.6252,0.4603,-0.0137,0.1245,6.2916,6.7715,5.8337,5.6882,5.9668,0.3195,0.1726,-0.3925,0.2943,1.1479,-4.8814,-5.9436,-4.5548,-3.8331,-4.5789,0.3191,0.0965,-0.8986,0.1483,1.7749,-0.4106,1.9657,-0.8427,-1.7284,-0.7699,0.2351,0.2251,0.2937,0.2111,0.1516,47.5,87.5,20.0,Lumi_L_L_4.csv,Lumi L,4,2,2,51.7
0.5233,0.7397,0.4896,-0.177,0.0699,6.2007,6.835,5.8299,5.5942,5.9174,0.9974,0.5908,-0.382,0.4276,1.125,-4.6711,-5.8244,-4.5545,-3.7,-4.5356,0.2999,0.1003,-0.9064,0.2814,1.785,-0.514,1.8756,-0.8993,-1.8233,-0.8565,0.2534,0.2077,0.2636,0.2105,0.1831,47.5,87.5,20.0,Lumi_L_L_5.csv,Lumi L,4,2,2,51.7
0.4556,0.2987,0.426,-0.0654,0.0623,6.2954,6.9652,5.8072,5.5394,5.9464,0.3641,0.4114,-0.4155,0.3855,1.1023,-4.7674,-5.9929,-4.5471,-3.7511,-4.542,0.3053,0.4482,-0.9062,0.5008,1.7598,-0.504,1.9153,-0.8548,-1.7893,-0.8252,0.2477,0.1745,0.2767,0.2159,0.1796,47.5,87.5,20.0,Lumi_L_L_6.csv,Lumi L,4,2,2,51.7
0.481,0.8513,0.475,-0.0539,0.0936,6.2013,6.7153,6.0131,5.7063,5.9376,0.7538,0.6151,-0.3561,0.387,1.1501,-4.8112,-5.9719,-4.697,-3.8635,-4.539,0.3044,0.125,-0.9073,0.3001,1.7492,-0.4935,1.9352,-0.8194,-1.7471,-0.7754,0.2492,0.2062,0.2805,0.2155,0.1695,47.5,87.5,20.0,Lumi_L_L_7.csv,Lumi L,4,2,2,51.7
0.485,0.7649,0.447,-0.0483,-0.039,6.2308,6.9505,5.8905,5.5852,5.9671,0.6652,0.4746,-0.4085,0.4088,1.0365,-4.8191,-5.8641,-4.5786,-3.8377,-4.5446,0.3024,0.1078,-0.8956,0.1603,1.7457,-0.4045,1.9049,-0.8639,-1.7339,-0.839,0.2486,0.2316,0.2795,0.2085,0.1592,47.5,87.5,20.0,Lumi_L_L_8.csv,Lumi L,4,2,2,51.7
0.5316,0.8205,0.5792,0.3705,0.0728,6.3613,6.719,5.944,5.638,6.0175,0.6964,0.396,-0.2899,0.4628,1.1167,-4.8937,-5.8884,-4.6297,-3.7803,-4.5683,0.3029,0.0967,-0.8941,0.2203,1.7623,-0.4187,1.8915,-0.788,-1.6226,-0.7558,0.244,0.2261,0.2864,0.2195,0.1587,47.5,87.5,20.0,Lumi_L_L_9.csv,Lumi L,4,2,2,51.7
0.503,0.2135,0.2907,0.555,0.0608,6.2275,6.8225,5.9536,5.5037,5.9244,0.9769,0.5906,-0.5338,0.5607,1.1376,-4.7327,-5.7748,-4.5576,-3.6614,-4.5094,0.2875,0.3915,-0.9091,0.3465,1.7565,-0.4087,1.84,-0.9234,-1.8265,-0.8294,0.2489,0.1895,0.2595,0.2167,0.184,47.5,87.5,20.0,Lumi_L_L_10.csv,Lumi L,4,2,2,51.7
0.4748,0.8678,0.5118,0.5651,-0.0282,6.2594,6.8347,5.876,5.701,5.9595,0.7093,0.5069,-0.3408,0.7337,1.0406,-4.8193,-5.8758,-4.5911,-3.8004,-4.5237,0.3127,0.1037,-0.8705,0.5685,1.7427,-0.4833,1.9051,-0.8412,-1.7531,-0.7961,0.2523,0.2299,0.2767,0.246,0.1712,47.5,87.5,20.0,Lumi_L_L_11.csv,Lumi L,4,2,2,51.7
0.5163,0.8472,0.5173,0.6832,0.1026,6.3138,6.9045,5.9399,5.6875,5.9562,0.354,0.3263,-0.3301,0.5204,1.154,-4.8234,-5.8408,-4.6162,-3.8022,-4.5843,0.3216,0.1205,-0.8738,0.1754,1.7879,-0.4452,1.8766,-0.8559,-1.6392,-0.8056,0.2508,0.2303,0.2785,0.2155,0.1712,47.5,87.5,20.0,Lumi_L_L_12.csv,Lumi L,4,2,2,51.7
0.5292,0.7248,0.4761,0.6392,-0.0298,6.3364,6.7772,5.8747,5.5118,5.9792,0.3879,0.4199,-0.3849,0.6628,1.0718,-4.8934,-5.8434,-4.5975,-3.7261,-4.5547,0.315,0.1673,-0.8851,0.2877,1.7692,-0.4578,1.9228,-0.8284,-1.7521,-0.7619,0.2448,0.2269,0.2887,0.2243,0.1589,47.5,87.5,20.0,Lumi_L_L_13.csv,Lumi L,4,2,2,51.7
0.393,0.505,0.3256,-0.0604,0.1419,6.3991,6.7152,5.9198,5.5097,5.9412,0.796,0.3732,-0.4532,0.2701,1.2165,-4.8942,-5.8598,-4.625,-3.7378,-4.5428,0.2901,0.1128,-0.9042,0.2097,1.7808,0.7139,1.87,-0.8032,-1.6342,-0.7456,0.2501,0.2238,0.2703,0.2122,0.1784,47.5,20.0,87.5,Lumi_H_L_U_1.csv,Lumi L,4,2,2,51.7
0.4181,-0.137,0.3683,0.5993,0.1654,6.4589,6.698,5.7227,5.4791,5.8918,0.4383,0.4161,-0.456,0.73,1.2582,-4.9032,-5.6931,-4.5284,-3.7583,-4.5258,0.3033,0.5369,-0.9121,0.3906,1.7676,0.691,1.8335,-0.8766,-1.6742,-0.8521,0.2503,0.1727,0.2727,0.2381,0.1738,47.5,20.0,87.5,Lumi_H_L_U_2.csv,Lumi L,4,2,2,51.7
0.4747,0.3327,0.3495,0.2164,-0.0553,6.3332,6.5959,5.8325,5.3755,5.8817,0.3552,-0.0572,-0.4168,0.3545,1.0853,-4.8032,-5.7717,-4.5788,-3.7206,-4.5279,0.2975,0.2857,-0.9064,0.1853,1.7541,0.7092,1.8205,-0.8162,-1.7349,-0.7331,0.2493,0.2286,0.2763,0.2229,0.1705,47.5,20.0,87.5,Lumi_H_L_U_3.csv,Lumi L,4,2,2,51.7
0.3976,0.8557,0.455,0.7271,0.2812,6.2897,6.7563,5.8772,5.5919,5.9376,0.2173,0.5892,-0.3629,0.7658,1.3523,-4.7983,-5.9088,-4.6087,-3.806,-4.5157,0.2954,0.4498,-0.913,0.4976,1.7999,0.6928,1.8406,-0.8293,-1.6433,-0.7689,0.2477,0.2143,0.2746,0.2454,0.1754,20.0,47.5,87.5,Lumi_H_L_L_1.csv,Lumi L,4,2,2,51.7
0.391,0.771,0.5787,0.4859,0.2566,6.5354,6.79,5.8102,5.3802,5.9822,0.3965,0.4438,-0.3195,0.261,1.2985,-4.9,-5.785,-4.5835,-3.6471,-4.5548,0.2784,0.2227,-0.9014,0.1759,1.785,0.7128,1.8502,-0.818,-1.7591,-0.7529,0.2517,0.1884,0.2782,0.225,0.1699,20.0,47.5,87.5,Lumi_H_L_L_2.csv,Lumi L,4,2,2,51.7
0.3995,-0.2013,0.3828,0.8083,0.0124,6.4402,6.9867,5.7884,5.5549,5.9459,0.3131,-0.1817,-0.4263,0.6993,1.1681,-4.8365,-6.0159,-4.5615,-3.8297,-4.5397,0.3035,0.5279,-0.9092,0.168,1.7532,0.6675,1.9061,-0.8421,-1.63,-0.7846,0.2489,0.1817,0.2774,0.2179,0.1652,20.0,47.5,87.5,Lumi_H_L_L_3.csv,Lumi L,4,2,2,51.7
0.4808,0.7699,0.5487,0.6481,0.098,6.3641,6.7548,5.8403,5.2,5.9334,0.8105,0.5959,-0.3327,0.7589,1.2174,-4.8582,-5.9056,-4.6212,-3.6317,-4.5353,0.3135,0.5205,-0.883,0.2242,1.7776,0.729,1.8355,-0.8126,-1.7367,-0.7542,0.2471,0.1875,0.278,0.2062,0.1697,87.5,20.0,47.5,Lumi_V_L_U_1.csv,Lumi L,4,2,2,51.7
0.4325,0.6982,0.3331,-0.1516,0.1074,6.4793,6.7655,5.7493,5.3652,5.9781,0.482,0.4238,-0.4739,0.2729,1.239,-4.9537,-5.8341,-4.5872,-3.6986,-4.6058,0.3301,0.3916,-0.8963,0.249,1.8121,-0.4336,1.8253,-0.8356,-1.6395,-0.7854,0.243,0.1952,0.2754,0.2076,0.1806,87.5,20.0,47.5,Lumi_V_L_U_2.csv,Lumi L,4,2,2,51.7
0.2949,-0.1292,0.4645,0.7891,0.1517,6.2329,6.9146,5.8458,5.5161,5.9505,0.3664,-0.1304,-0.3739,0.7111,1.2355,-4.9553,-5.8944,-4.6138,-3.7497,-4.554,0.2487,0.1896,-0.8753,0.1928,1.755,-0.3693,1.8751,-0.794,-1.7504,-0.7366,0.2504,0.2081,0.2753,0.2447,0.1758,87.5,20.0,47.5,Lumi_V_L_U_3.csv,Lumi L,4,2,2,51.7
0.3188,0.577,0.3309,0.8272,-0.0902,6.3626,6.8397,5.8334,5.7561,5.8694,0.3938,0.0576,-0.448,0.7022,1.0752,-4.9938,-5.8494,-4.5761,-3.8733,-4.5379,0.2659,0.0951,-0.8803,0.179,1.736,-0.3788,1.857,-0.7981,-1.7516,-0.7415,0.2548,0.2376,0.2777,0.247,0.1769,87.5,20.0,47.5,Lumi_V_L_U_4.csv,Lumi L,4,2,2,51.7
0.2834,-0.2461,0.3228,0.5261,0.1276,6.2943,6.8259,5.7605,5.3932,5.9868,0.1736,-0.3067,-0.5108,0.7309,1.2372,-4.9329,-5.9411,-4.583,-3.6678,-4.582,0.2492,0.437,-0.9231,0.3802,1.7505,-0.4267,1.8771,-0.8596,-1.7815,-0.7635,0.2546,0.1782,0.2819,0.2388,0.175,87.5,20.0,47.5,Lumi_V_L_U_5.csv,Lumi L,4,2,2,51.7
0.3904,-0.1531,0.4394,0.0232,0.074,6.3783,6.8267,5.8317,5.4865,5.9373,0.1268,-0.3144,-0.4231,0.425,1.1941,-4.9277,-5.9162,-4.5944,-3.7837,-4.536,0.2622,0.4682,-0.9043,0.1872,1.7261,-0.4576,1.8804,-0.8132,-1.6166,-0.7731,0.1799,0.155,0.2802,0.2207,0.1681,87.5,20.0,47.5,Lumi_V_L_U_6.csv,Lumi L,4,2,2,51.7
0.4272,-0.2845,0.5142,-0.2204,0.0156,6.2334,6.7283,5.8554,5.5163,6.0031,0.4762,-0.2394,-0.4291,0.3894,1.1821,-4.8809,-5.696,-4.5922,-3.7458,-4.6204,0.2891,0.5348,-0.9049,0.4023,1.7634,-0.4457,1.8222,-0.8522,-1.7884,-0.7418,0.1721,0.1523,0.267,0.215,0.1788,20.0,87.5,47.5,Lumi_V_L_L_1.csv,Lumi L,4,2,2,51.7
0.3239,-0.2032,0.6107,0.176,0.0476,6.289,6.8826,5.9145,5.4986,5.9382,0.9643,0.0961,-0.3103,0.472,1.1949,-4.8941,-5.916,-4.6686,-3.6749,-4.568,0.297,0.1401,-0.9075,0.1574,1.7665,-0.4268,1.8712,-0.8213,-1.7916,-0.7801,0.1749,0.1716,0.271,0.203,0.1752,20.0,87.5,47.5,Lumi_V_L_L_2.csv,Lumi L,4,2,2,51.7
0.4098,0.774,0.248,0.796,0.0954,6.4698,6.8267,5.8006,5.2729,5.9254,0.424,-0.035,-0.6171,0.7767,1.2776,-4.9822,-5.9564,-4.5385,-3.6834,-4.5325,0.3034,0.1133,-0.9222,0.1977,1.7808,-0.4216,1.904,-0.8712,-1.7298,-0.8404,0.1739,0.2017,0.2751,0.2257,0.163,20.0,87.5,47.5,Lumi_V_L_L_3.csv,Lumi L,4,2,2,51.7
0.4135,0.7715,0.4721,0.3199,0.0679,6.3529,6.8688,5.8921,5.5871,5.9909,0.3379,0.4102,-0.4449,0.4209,1.1825,-4.88,-5.8429,-4.578,-3.7489,-4.5684,0.2991,0.1628,-0.9003,0.1594,1.7536,-0.3696,1.874,-0.8595,-1.7819,-0.7848,0.1774,0.1894,0.2767,0.2114,0.1707,20.0,87.5,47.5,Lumi_V_L_L_4.csv,Lumi L,4,2,2,51.7
0.4046,0.7246,0.384,0.7092,-0.0037,6.2555,6.7334,5.8631,5.4936,5.9276,0.4585,0.4663,-0.4745,0.7963,1.2223,-4.9139,-5.9041,-4.5748,-3.7414,-4.5477,0.2179,0.0356,-0.9045,0.4425,1.7433,-0.4288,1.8827,-0.8339,-1.7334,-0.7275,0.1757,0.1951,0.2795,0.2128,0.1625,20.0,87.5,47.5,Lumi_V_L_L_5.csv,Lumi L,4,2,2,51.7
0.3989,-0.1328,0.5007,-0.0477,-0.0073,6.2156,6.7589,5.9048,5.382,5.9851,0.3934,-0.0313,-0.4055,0.3097,1.2088,-4.8792,-5.9062,-4.6417,-3.7122,-4.5985,0.2937,0.3246,-0.9074,0.166,1.7655,-0.2825,1.8662,-0.7668,-1.6519,-0.7964,0.1684,0.1654,0.2885,0.205,0.1521,20.0,87.5,47.5,Lumi_V_L_L_6.csv,Lumi L,4,2,2,51.7
0.5171,0.5871,0.5807,0.4525,-0.0162,6.0145,6.5715,5.652,5.3358,5.8048,1.0704,0.6199,-0.3394,0.694,1.1845,-4.7579,-5.6698,-4.4775,-3.645,-4.417,0.2906,0.1617,-0.8315,0.3982,1.6755,-0.4094,1.7809,-0.8152,-1.6154,-0.8344,0.2474,0.1947,0.2757,0.2072,0.1758,47.5,32.5,17.25,Durch_L_U_D_O_1.csv,Durchsichtig,5,2,3,19.3
0.3875,0.7296,0.5592,0.5467,0.0951,5.9973,6.5351,5.7202,5.4792,5.7834,0.2945,0.1914,-0.3609,0.7751,1.2482,-4.7167,-5.6758,-4.5068,-3.7176,-4.4437,0.2775,0.108,-0.8288,0.2139,1.6968,-0.4467,1.8123,-0.8049,-1.686,-0.7164,0.242,0.2199,0.2734,0.2189,0.1705,47.5,32.5,17.25,Durch_L_U_D_O_2.csv,Durchsichtig,5,2,3,19.3
0.5155,-0.1609,0.509,0.6656,0.0029,6.0202,6.6966,5.6156,5.5377,5.8285,0.2243,-0.0757,-0.411,0.7515,1.1737,-4.7154,-5.8322,-4.4627,-3.8048,-4.4423,0.2927,0.4951,-0.8159,0.56,1.6927,-0.387,1.84,-0.8207,-1.6696,-0.7544,0.2451,0.1818,0.2739,0.2439,0.1758,47.5,32.5,17.25,Durch_L_U_D_O_3.csv,Durchsichtig,5,2,3,19.3
0.4284,0.4451,0.4711,-0.091,0.1706,5.9957,6.4506,5.7133,5.437,5.8602,0.6893,0.6365,-0.4504,0.5196,1.3381,-4.8128,-5.656,-4.5093,-3.7398,-4.4477,0.3159,0.511,-0.8122,0.5886,1.7006,-0.413,1.8006,-0.8148,-1.5938,-0.7728,0.2453,0.1826,0.2716,0.2154,0.1703,47.5,32.5,17.25,Durch_L_U_D_O_4.csv,Durchsichtig,5,2,3,19.3
0.4991,-0.0734,0.4179,0.6302,-0.0437,5.9696,6.5453,5.7131,5.4278,5.7174,0.3111,0.4097,-0.5189,0.7436,1.1586,-4.7304,-5.6454,-4.5037,-3.807,-4.4479,0.3086,0.5394,-0.8396,0.4213,1.6833,-0.4237,1.8003,-0.8283,-1.655,-0.7774,0.2426,0.1733,0.2797,0.2355,0.1721,47.5,32.5,17.25,Durch_L_U_D_O_5.csv,Durchsichtig,5,2,3,19.3
0.5284,0.7676,0.3533,0.2155,0.2645,5.8844,6.5708,5.8297,5.658,5.8228,0.9683,0.5487,-0.5817,0.4446,1.2626,-4.6891,-5.7518,-4.514,-3.7362,-4.4339,0.3035,0.1334,-0.8288,0.2037,1.7047,-0.4641,1.8341,-0.8335,-1.7259,-0.764,0.2465,0.2255,0.274,0.2204,0.1694,47.5,32.5,17.25,Durch_L_U_D_O_6.csv,Durchsichtig,5,2,3,19.3
0.4886,0.1702,0.3795,0.5809,-0.0745,5.9733,6.6943,5.725,5.3933,5.8072,0.4015,0.4248,-0.5998,0.5812,0.9828,-4.7792,-5.7283,-4.5105,-3.7417,-4.4718,0.3211,0.4677,-0.8577,0.4117,1.6876,-0.3712,1.8147,-0.8091,-1.5383,-0.7766,0.246,0.1782,0.2705,0.2295,0.1728,47.5,32.5,5.75,Durch_L_U_D_U_1.csv,Durchsichtig,5,2,3,19.3
0.5248,0.6816,0.4516,0.6149,0.1114,5.9869,6.7106,5.7448,5.509,5.827,0.7441,0.387,-0.5146,0.5315,1.1116,-4.7619,-5.7184,-4.477,-3.7544,-4.4302,0.3062,0.1249,-0.8273,0.4844,1.6917,-0.3959,1.7947,-0.8822,-1.7189,-0.9016,0.2441,0.2138,0.2675,0.2394,0.1789,47.5,32.5,5.75,Durch_L_U_D_U_2.csv,Durchsichtig,5,2,3,19.3
